Date of data Extraction,Brand,Product name,ProductID,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price,UID
2018-08-15 07:50:10 UTC,allowrie,Allowrie Mixed Blossom Honey,801535,Pantry,500g,15g,33,,1416kJ,0.3g,0g,0g,83.1g,82.5g,15mg,5.3,TRUE,5,FALSE,,,1534283410.0-W-186
2018-08-15 07:50:10 UTC,allowrie,Allowrie Mixed Blossom Upside Down Honey,801548,Pantry,400g,,,,,,,,,82.5g,,5,TRUE,4.8,FALSE,,,1534283410.0-W-187
2018-08-15 07:50:10 UTC,allowrie,Allowrie Mixed Blossom Twist & Squeeze Honey,801547,Pantry,375g,15g,25,,1416kJ,0.3g,0g,0g,83.1g,82.5g,15mg,5.3,TRUE,4.5,FALSE,,,1534283410.0-W-188
2018-08-15 08:09:48 UTC,allowrie,Allowrie Unsalted Cultured Butter,18805,"Dairy, Eggs & Fridge",250g,5g,50,,3090kJ,<1g,82.9g,54.7g,<1g,<1g,18mg,4.5,FALSE,4.5,FALSE,,,1534284588.0-W-189
2018-08-15 08:09:48 UTC,allowrie,Allowrie Butter ,48272,"Dairy, Eggs & Fridge",250g,5g,50,,3060kJ,<1g,82.2g,54.2g,<1g,<1g,640mg,4.5,FALSE,4.5,FALSE,,,1534284588.0-W-190
2018-08-15 08:09:48 UTC,allowrie,Allowrie Unsalted Butter,48285,"Dairy, Eggs & Fridge",250g,5g,50,,3080kJ,<1g,82.7g,54.6g,<1g,<1g,19mg,4.5,FALSE,4.5,FALSE,,,1534284588.0-W-191
2018-08-15 09:09:38 UTC,almond,Almond Nut Kernels Roasted & Salted,637614,Pantry,750g,g,,,,,,,,,,12,FALSE,12,FALSE,,,1534288178.0-W-192
2018-08-15 06:29:40 UTC,almond breeze,Almond Breeze Flavoured Chocolate Milk,761612,Drinks,1l,250mL,4,,167kJ,0.6g,1.2g,0.1g,6.5g,6.0g,51.0mg,3.59,TRUE,2.7,FALSE,,,1534278580.0-W-193
2018-08-15 06:29:40 UTC,almond breeze,Almond Breeze Unsweetened Almond Milk,761604,Drinks,1l,250mL,4,,67kJ,0.5g,1.2g,<0.1g,0.7g,0.1g,51.6mg,3.25,TRUE,2.5,FALSE,,,1534278580.0-W-194
2018-08-15 06:29:40 UTC,almond breeze,Almond Breeze Unsweetened Vanilla Almond Milk,796060,Drinks,1l,250mL,4,,67kJ,0.5g,1.2g,<0.1g,0.7g,0.1g,51.6mg,3.59,TRUE,2.7,FALSE,,,1534278580.0-W-195
2018-08-15 09:29:37 UTC,almonds ,Almonds Loose Honey Roastd,767354,Pantry,per kg min. 100g,per,,,,,,,,,,34.5,FALSE,34.5,FALSE,,,1534289377.0-W-196
2018-08-15 09:29:37 UTC,almonds ,Almonds Loose Dry Roasted,767320,Pantry,per kg min. 100g,per,,,,,,,,,,29,FALSE,29,FALSE,,,1534289377.0-W-197
2018-08-15 09:09:40 UTC,alpen,Alpen Original Muesli,528155,Pantry,750g,g,,,,,,,,,,10.6,FALSE,10.6,FALSE,,,1534288180.0-W-198
2018-08-15 08:09:46 UTC,alpine,Alpine Spelt & Sprouted Grains Bread,679315,Bakery,640g,g,,,,,,,,,,5.6,FALSE,5.6,FALSE,,,1534284586.0-W-199
